Kun,Sana,Hafta,Oy mavzusi,Haftalik mavzu,Chorak maqsadi,Kategoriya,Mavzu,Nega muhim,Ishonchli manba,E'lon vaqti,Muqova g'oyasi,Daraja,O'qish vaqti,CTA taklifi
349,15-Dekabr,50,Refleksiya va shukr,Refleksiya va shukr · Amaliyot,Q4,Business Box,Brendni qurish asoslari,Biznes qurish va o'stirishning barqaror tamoyilini beradi.,Asoschilar memuarlari,07:30,"Toza geometrik framework diagrammasi yoki yuqoriga yo'l, korporativ-minimal",Murakkab,1–2 daq,Ushbu modelni o'z loyihangga moslab ko'r.
350,16-Dekabr,50,Refleksiya va shukr,Refleksiya va shukr · Amaliyot,Q4,Interesting Facts,Ko'z — aslida miyaning bir qismi,Tasdiqlangan qiziq fakt bilan dunyoga yangi nazar beradi.,Universitet/ensiklopediya,08:00,"Faktning predmeti — bitta jasur, minimal vizual",Boshlang'ich,<1 daq,Bugun shu faktni bir kishiga aytib ber.
351,17-Dekabr,51,Refleksiya va shukr,Refleksiya va shukr · Amaliyot,Q4,Marketing Box,Hook — birinchi 3 soniya,Odamlar nega xarid qilishini — diqqat va ishontirish psixologiyasini ochadi.,Ogilvy / Seth Godin,07:30,"Magnit, ko'z yoki voronka motivi; jasur, lekin toza bitta aksent rang",O'rta,1 daq,Sarlavhangni 3 xil variantda sinab ko'r.
352,18-Dekabr,51,Refleksiya va shukr,Refleksiya va shukr · Amaliyot,Q4,Arabic Box,So'z: إحسان (ihsan) — ehson,Har kuni bitta arabcha so'z bilan til va ma'no eshigini ochadi.,Klassik/MSA manbalari,07:00,"So'zning nafis arab kalligrafiyasi, sokin fon",Boshlang'ich,<1 daq,Shu iborani bilganmidingiz? Izohda yozing.
353,19-Dekabr,51,Refleksiya va shukr,Refleksiya va shukr · Amaliyot,Q4,Mental Models,Probabilistik fikrlash,Hayotning ko'p sohasida ishlaydigan qayta-qo'llanadigan tafakkur vositasi beradi.,Munger — latticework,07:30,"Minimal panjara/linza/tishli g'ildirak motivi, intellektual-premium",Murakkab,1 daq,Shu modelni qaysi muammoga qo'llaysan?
354,20-Dekabr,51,Refleksiya va shukr,Refleksiya va shukr · Amaliyot,Q4,Communication Box,Nizoda tinch til,"Gapirish, tinglash va ishontirishni yaxshilab, tushunilishni oson qiladi.",Chris Voss (negotiation),08:00,"Gap-bulutchasi yoki ovoz-to'lqini minimal motivi, iliq lekin toza",O'rta,1 daq,Bugun bir kishini gapini bo'lmasdan oxirigacha eshit.
355,21-Dekabr,51,Refleksiya va shukr,Refleksiya va shukr · Amaliyot,Q4,AI Box,AI rasm generatsiyasi asoslari,"AI'ni amaliy va tushunarli qilib, bugun foydalanish yo'lini ko'rsatadi.",E'tiborli AI tadqiqotlari,08:00,"Minimal neyron/uchqun motivi, sovuq premium palitra (robot klishesiz)",O'rta,1 daq,Shu promptni bugun o'zingda sinab ko'r.
356,22-Dekabr,51,Refleksiya va shukr,Refleksiya va shukr · Mahorat,Q4,Critical Thinking,Statistikani to'g'ri o'qish,"Fikrlashni o'tkirlashtirib, yomon dalillardan himoya qiladi.",Kognitiv fan,07:30,"Lupa yoki shoxlanuvchi-savol motivi, toza intellektual uslub",Murakkab,1 daq,Keyingi xabarni o'qiganda manbasini so'ra.
357,23-Dekabr,51,Refleksiya va shukr,Refleksiya va shukr · Mahorat,Q4,Technology Box,Quyosh energiyasi va kelajak,Hayot va karyera uchun muhim texnologiya hamda ko'nikmani tushuntiradi.,Nufuzli texno-jurnalistika,08:00,"Toza kontur uslubidagi mikrosxema/qurilma, vazmin va zamonaviy",O'rta,1 daq,Keyingi 6 oyda o'rganmoqchi bo'lgan ko'nikmani yoz.
358,24-Dekabr,52,Refleksiya va shukr,Refleksiya va shukr · Mahorat,Q4,Success Stories,Milton Hershey — uch marta bankrot,Real hikoyadan qiyinchilikni yengish va amaliy saboq beradi (mif emas).,Rasmiy intervyular,08:00,"Minimal portret silueti yoki cho'qqi motivi, iliq va ilhomli premium",O'rta,1–2 daq,Sen qaysi qadamdan boshlaysan?
359,25-Dekabr,52,Refleksiya va shukr,Refleksiya va shukr · Mahorat,Q4,Decision Making,Checklist kuchi,Noaniqlikda yaxshiroq va aniqroq qaror qabul qilishga yordam beradi.,Annie Duke — Thinking in Bets,07:30,"Minimal chorraha/ayri yo'l yoki tarozi motivi, aniq va muvozanatli",Murakkab,1 daq,Qaroringni 10/10/10 qoidasi bilan sinab ko'r.
360,26-Dekabr,52,Refleksiya va shukr,Refleksiya va shukr · Mahorat,Q4,Islamic Wisdom,Tafakkur — koinotda mushohada,"Hayotga ma'no, axloq va ichki muvozanat baxsh etadi.",E'tirof etilgan ulamolar,07:00,"Minimal geometrik/arabeska naqsh, sokin yer ranglari (tasvirsiz)",Boshlang'ich,1 daq,Bugun bir kishiga chin ko'ngildan yaxshilik qil.
361,27-Dekabr,52,Refleksiya va shukr,Refleksiya va shukr · Mahorat,Q4,Book Box,Outliers — 10 000 soat va imkoniyat,Yillar davomida shakllangan kitob g'oyasini 1 daqiqada o'zlashtiradi.,Universitet konspektlari,07:00,"Minimal ochiq kitob yoki kitob qirrasi, sokin gradient, bitta g'oya-ibora",O'rta,1–2 daq,Ushbu kitobni o'qiganmisiz? Asosiy saboqni izohda yozing.
362,28-Dekabr,52,Refleksiya va shukr,Refleksiya va shukr · Mahorat,Q4,History Box,Rim imperiyasi qulashi saboqlari,Real tarixiy voqeadan bugun uchun amaliy saboq beradi.,Universitet/muzey materiallari,08:00,"Vintage-toned minimal motiv (xarita, ustun, qadimiy hujjat), sepia aksent",O'rta,1–2 daq,Tarix takrorlanmasligi uchun bugun nima qilasan?
363,29-Dekabr,52,Refleksiya va shukr,Refleksiya va shukr · Mustahkamlash,Q4,Leadership Box,Mas'uliyatni o'z zimmasiga olish,Odamlarni boshqarish va kuchli jamoa qurish tamoyilini beradi.,Tasdiqlangan liderlik hikoyalari,07:30,"Minimal kompas, mayoq yoki guruh oldidagi siluet; kuchli va sokin",O'rta,1–2 daq,Bugun bitta qarorni jamoang bilan maslahatlash.
364,30-Dekabr,52,Refleksiya va shukr,Refleksiya va shukr · Mustahkamlash,Q4,Habits,Mikro-odatlardan tizim qurish,"Kichik, amaliy qadam bilan haqiqiy o'zgarishni boshlash mumkinligini ko'rsatadi.",BJ Fogg (Stanford),07:00,"Minimal zanjir/streak yoki o'sayotgan urug' motivi, sokin ranglar",Boshlang'ich,1 daq,Shu odatni mavjud odatingga ulab qo'y.
365,31-Dekabr,53,Refleksiya va shukr,Refleksiya va shukr · Mustahkamlash,Q4,Life Lessons 🎯 Mavsumiy,Yil yakuni: refleksiya va shukr,"O'tgan yilni mulohaza qilib, saboq va minnatdorlik bilan yakunlash.",Umuminsoniy haqiqatlar,08:00,"Minimal tabiat/yo'l/ufq motivi, yumshoq mushohadali ranglar",Boshlang'ich,1 daq,Bugun shu yilning 3 ta saboqi va 3 ta shukrini yozib qo'y.
